[LOG] System::create                           : Header version = 1.10.07. Current version = 1.10.07.
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] Manager::init                            : maxchannels = 1024 studioflags = 00000008 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11007 (95892), maxchannels=1024, flags=0x00020000
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000002184B0B1018 isAsync 1 updatePeriod 0.02
[LOG] Thread::initThread                       : Init FMOD Studio update thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] Manager::readBank                        : fileversion = 100, compatVersion = 99 (oldest = 44, newest = 100)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {3b6f32e4-4612-442f-8213-c8c2b3e2ce9b}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {363c03d2-43fe-43fa-bf21-ea0c24d75db8}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {a38d4e7a-6cef-44ca-b4f6-f7e8d9d97514}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {5ac7c687-2372-468d-a20e-aa67c9f337cc}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {f584d12b-b186-4e7d-9db1-7d1e4ca348d6}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {bcbc1004-fe9d-4628-b483-e1ac381147e8}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {ebf15d9d-d5b4-4d45-a076-d485509fe3a5}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {3b56b5be-0ab5-4a36-97c2-b28dd7ccf62d}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {0fdb2640-5524-4c5f-ab77-31646ce9694d}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {3243efb5-2a83-45a8-8e25-ce539fdd817e}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {6031ca1b-8a1a-4ba2-9e92-4004f011fc13}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {d0cde00a-4bb4-4ae5-b171-c9a6f02eaa5b}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {423ad899-42f3-42b1-9ecb-06f9ab977e8c}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {979465f4-11cc-41a0-8b78-5f072278ebf6}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {fc004742-8a13-445c-9f5f-850f419c9e4c}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {1cae0f6c-6d97-48d9-9ec0-fdc606417780}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {fe70f66a-374b-45f6-89c3-a4bc3d1da6cf}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {4453ce55-48d6-4723-973e-336321435af1}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {46fcac43-50d4-41af-82b5-1558566606e4}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {70e693f9-38f5-4f00-ade8-a4b6747cae50}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {109ca24a-c78a-43b3-a2a0-767aa5efde6c}
[WRN] ObjectLookup::get                        : Lookup failed for WaveformResourceModel: {3b56b5be-0ab5-4a36-97c2-b28dd7ccf62d}
[ERR] InstrumentInstanceCreationVisitor::visitWaveformInstrumentModel : Instrument {4835f0f9-3ee6-4912-9658-10aa3e44fdea} has missing waveform resource!
